 t,vehicle,lane,road,length,start.x,start.y,end.x,end.y,speed,x,y 
 QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene QGraphicsScene::addItem: item has already been added to this scene CompositeTileSource(0x7fb70df58e70) received unknown tile 115380 51844 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115381 51838 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115381 51844 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115382 51838 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115382 51844 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115383 51838 17 from OSMTileSource(0x7fb70df58940) CompositeTileSource(0x7fb70df58e70) received unknown tile 115383 51844 17 from OSMTileSource(0x7fb70df58940) 16:51:26.391 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 450 440 
 16:51:26.393 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.395 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  0 819 830 
 16:51:26.439 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0.333333 450.167 440 
 16:51:26.441 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.442 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  0.333333 819 829.833 
 16:51:26.490 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0.626667 450.447 439.991 
 16:51:26.491 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.492 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  0.626667 818.997 829.553 
 16:51:26.540 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0.8848 450.823 439.936 
 16:51:26.541 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.542 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  0.8848 818.984 829.174 
 16:51:26.590 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  1.11196 451.259 439.763 
 16:51:26.592 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.593 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  1.11196 818.959 828.707 
 16:51:26.639 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  1.31186 451.669 439.393 
 16:51:26.640 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.641 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  1.31186 818.917 828.164 
 16:51:26.690 ,  Vehicle0 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  1.48777 451.948 438.836 
 16:51:26.691 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.693 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  1.48777 818.861 827.554 
 16:51:26.741 ,  Vehicle0 ,  0 ,  ODDD ,  87.8066 ,  454.673, 444.174 ,  542.41, 440.692 ,  1.65407 452.056 438.158 
 16:51:26.742 ,  Vehicle1 ,  0 ,  NO ,  62.3877 ,  441.647, 379.988 ,  451.135, 441.65 ,  0 420 440 
 16:51:26.743 ,  Vehicle2 ,  0 ,  G1G2 ,  70.2383 ,  820.424, 833.716 ,  810.959, 764.118 ,  1.64257 818.79 826.885 
 16:51:26.791 ,  Vehicle0 ,  0 ,  ODDD ,  87.8066 ,  454.673, 444.174 ,  542.41, 440.692 ,  1.65407 451.853 437.509 
